package,c
java.util,98686
java.io,49035
org.junit,20830
android.content,10107
org.slf4j,9143
java.net,9030
android.os,8251
java.util.concurrent,8005
android.view,7560
java.awt,6481
com.google.common.collect,6284
android.widget,5912
java.lang.reflect,5772
javax.swing,5701
com.google.common.base,5571
android.util,5342
org.jetbrains.annotations,5111
android.app,5031
junit.framework,4523
java.nio,3912
javax.xml.bind.annotation,3788
java.sql,3783
java.text,3720
org.junit.runner,3713
javax.annotation,3418
javax.servlet.http,3391
java.math,3255
java.util.logging,3175
java.awt.event,3149
org.mockito,3103
android.graphics,3071
java.security,3009
java.lang.annotation,2923
java.util.regex,2757
org.springframework.beans.factory.annotation,2726
javax.inject,2694
java.util.concurrent.atomic,2685
org.hamcrest,2656
org.springframework.stereotype,2576
org.apache.log4j,2447
javax.persistence,2147
com.intellij.psi,2133
org.w3c.dom,2059
org.testng.annotations,2059
javax.servlet,2040
org.apache.commons.logging,2029
org.apache.commons.lang,1896
android.support.annotation,1781
com.intellij.openapi.project,1777
com.google.inject,1725
android.text,1714
java.nio.charset,1653
android.net,1635
android.support.v4.app,1594
com.fasterxml.jackson.annotation,1572
org.json,1569
android.content.res,1477
net.minecraft.item,1471
java.nio.file,1468
com.intellij.openapi.util,1466
org.apache.commons.lang3,1459
org.apache.commons.io,1435
ims.framework.enumerations,1411
org.testng,1409
org.assertj.core.api,1366
com.intellij.util,1348
java.util.stream,1341
java.util.function,1336
lombok,1329
org.apache.hadoop.conf,1328
android.support.v7.widget,1319
com.intellij.openapi,1309
org.xml.sax,1303
org.junit.runners,1302
java.awt.image,1285
org.eclipse.swt.widgets,1282
com.intellij,1228
org.eclipse.core.runtime,1225
javax.ws.rs.core,1215
com.fasterxml.jackson.databind,1204
org.joda.time,1179
net.minecraft.util,1170
android.support.v7.app,1153
java.lang,1136
com.google.gson,1133
android.annotation,1112
android.graphics.drawable,1070
net.minecraft.world,1065
org.apache.camel,1048
javax.swing.event,1012
org.apache.hadoop.fs,994
android.database,965
com.intellij.openapi.vfs,941
net.minecraft.entity.player,930
com.amazonaws,927
org.apache.hadoop.io,906
org.junit.rules,899
javax.ws.rs,898
java.beans,887
,882
org.eclipse.swt,881
